Entity,Code,Year,Average total years of schooling for adult population (years)
Afghanistan,AFG,2014,3.5
Albania,ALB,2014,9.7
Algeria,DZA,2014,7.9
Andorra,AND,2014,10.2
Angola,AGO,2014,4.9
Antigua and Barbuda,ATG,2014,9.2
Argentina,ARG,2014,9.8
Armenia,ARM,2014,11.5
Australia,AUS,2014,12.7
Austria,AUT,2014,12.1
Azerbaijan,AZE,2014,10.7
Bahamas,BHS,2014,11.1
Bahrain,BHR,2014,9.1
Bangladesh,BGD,2014,5.2
Barbados,BRB,2014,10.5
Belarus,BLR,2014,12.1
Belgium,BEL,2014,11.5
Belize,BLZ,2014,10.5
Benin,BEN,2014,3.3
Bhutan,BTN,2014,3.1
Bolivia,BOL,2014,8.5
Bosnia and Herzegovina,BIH,2014,9.2
Botswana,BWA,2014,9.2
Brazil,BRA,2014,7.4
Brunei,BRN,2014,9.0
Bulgaria,BGR,2014,10.9
Burkina Faso,BFA,2014,1.4
Burundi,BDI,2014,2.8
Cambodia,KHM,2014,4.7
Cameroon,CMR,2014,6.0
Canada,CAN,2014,13.0
Cape Verde,CPV,2014,5.8
Central African Republic,CAF,2014,4.1
Chad,TCD,2014,2.2
Chile,CHL,2014,10.1
China,CHN,2014,7.6
Colombia,COL,2014,8.0
Comoros,COM,2014,4.8
Congo,COG,2014,6.3
Costa Rica,CRI,2014,8.6
Cote d'Ivoire,CIV,2014,4.4
Croatia,HRV,2014,11.1
Cuba,CUB,2014,11.2
Cyprus,CYP,2014,11.9
Czech Republic,CZE,2014,12.8
Democratic Republic of Congo,COD,2014,6.2
Denmark,DNK,2014,12.8
Djibouti,DJI,2014,4.1
Dominica,DMA,2014,7.9
Dominican Republic,DOM,2014,7.8
Ecuador,ECU,2014,8.5
Egypt,EGY,2014,7.0
El Salvador,SLV,2014,6.5
Equatorial Guinea,GNQ,2014,5.5
Eritrea,ERI,2014,3.9
Estonia,EST,2014,12.6
Ethiopia,ETH,2014,2.5
Fiji,FJI,2014,10.5
Finland,FIN,2014,12.4
France,FRA,2014,11.4
Gabon,GAB,2014,8.1
Gambia,GMB,2014,3.3
Georgia,GEO,2014,12.6
Germany,DEU,2014,14.0
Ghana,GHA,2014,6.9
Greece,GRC,2014,10.5
Grenada,GRD,2014,8.6
Guatemala,GTM,2014,6.4
Guinea,GIN,2014,2.6
Guinea-Bissau,GNB,2014,2.9
Guyana,GUY,2014,8.4
Haiti,HTI,2014,5.1
Honduras,HND,2014,6.2
Hong Kong,HKG,2014,11.9
Hungary,HUN,2014,11.8
Iceland,ISL,2014,12.2
India,IND,2014,6.1
Indonesia,IDN,2014,7.8
Iran,IRN,2014,9.8
Iraq,IRQ,2014,6.6
Ireland,IRL,2014,12.3
Israel,ISR,2014,12.9
Italy,ITA,2014,10.1
Jamaica,JAM,2014,9.6
Japan,JPN,2014,12.5
Jordan,JOR,2014,10.1
Kazakhstan,KAZ,2014,11.7
Kenya,KEN,2014,6.3
Kiribati,KIR,2014,7.9
Kuwait,KWT,2014,6.9
Kyrgyzstan,KGZ,2014,10.8
Laos,LAO,2014,5.0
Latvia,LVA,2014,12.9
Lebanon,LBN,2014,8.4
Lesotho,LSO,2014,6.1
Liberia,LBR,2014,4.4
Libya,LBY,2014,7.3
Liechtenstein,LIE,2014,12.4
Lithuania,LTU,2014,13.0
Luxembourg,LUX,2014,12.0
Macedonia,MKD,2014,9.5
Madagascar,MDG,2014,6.1
Malawi,MWI,2014,4.4
Malaysia,MYS,2014,10.1
Maldives,MDV,2014,6.2
Mali,MLI,2014,2.3
Malta,MLT,2014,11.1
Marshall Islands,MHL,2014,10.8
Mauritania,MRT,2014,4.3
Mauritius,MUS,2014,9.1
Mexico,MEX,2014,8.4
Micronesia (country),FSM,2014,8.0
Moldova,MDA,2014,11.6
Mongolia,MNG,2014,10.1
Montenegro,MNE,2014,11.3
Morocco,MAR,2014,5.0
Mozambique,MOZ,2014,3.4
Myanmar,MMR,2014,4.8
Namibia,NAM,2014,6.7
Nepal,NPL,2014,4.5
Netherlands,NLD,2014,12.1
New Zealand,NZL,2014,12.2
Nicaragua,NIC,2014,6.5
Niger,NER,2014,1.7
Nigeria,NGA,2014,5.9
Norway,NOR,2014,12.5
Oman,OMN,2014,9.3
Pakistan,PAK,2014,5.1
Palau,PLW,2014,12.2
Palestine,PSE,2014,8.9
Panama,PAN,2014,9.9
Papua New Guinea,PNG,2014,4.3
Paraguay,PRY,2014,8.2
Peru,PER,2014,9.4
Philippines,PHL,2014,9.2
Poland,POL,2014,11.3
Portugal,PRT,2014,8.9
Qatar,QAT,2014,9.8
Romania,ROU,2014,10.9
Russia,RUS,2014,11.9
Rwanda,RWA,2014,4.0
Saint Kitts and Nevis,KNA,2014,8.4
Saint Lucia,LCA,2014,8.7
Saint Vincent and the Grenadines,VCT,2014,8.6
Samoa,WSM,2014,10.3
Sao Tome and Principe,STP,2014,5.3
Saudi Arabia,SAU,2014,9.5
Senegal,SEN,2014,2.8
Serbia,SRB,2014,10.7
Seychelles,SYC,2014,9.4
Sierra Leone,SLE,2014,3.3
Singapore,SGP,2014,11.4
Slovakia,SVK,2014,12.3
Slovenia,SVN,2014,11.9
Solomon Islands,SLB,2014,5.3
South Africa,ZAF,2014,10.0
South Korea,KOR,2014,12.1
South Sudan,SSD,2014,4.8
Spain,ESP,2014,9.7
Sri Lanka,LKA,2014,10.9
Sudan,SDN,2014,3.5
Suriname,SUR,2014,8.2
Swaziland,SWZ,2014,6.5
Sweden,SWE,2014,12.3
Switzerland,CHE,2014,13.4
Syria,SYR,2014,5.6
Tajikistan,TJK,2014,10.6
Tanzania,TZA,2014,5.6
Thailand,THA,2014,7.6
Timor,TLS,2014,4.5
Togo,TGO,2014,4.7
Tonga,TON,2014,11.1
Trinidad and Tobago,TTO,2014,10.8
Tunisia,TUN,2014,6.9
Turkey,TUR,2014,7.6
Turkmenistan,TKM,2014,9.8
Uganda,UGA,2014,5.5
Ukraine,UKR,2014,11.3
United Arab Emirates,ARE,2014,10.5
United Kingdom,GBR,2014,12.7
United States,USA,2014,13.3
Uruguay,URY,2014,8.6
Uzbekistan,UZB,2014,11.3
Vanuatu,VUT,2014,6.8
Venezuela,VEN,2014,10.0
Vietnam,VNM,2014,7.8
Yemen,YEM,2014,3.0
Zambia,ZMB,2014,6.9
Zimbabwe,ZWE,2014,8.2
